サイト名,タイトル,リンク,公開日
"OpenAI Blog","Introducing GPT-4.1 in the API","[https://openai.com/index/gpt-4-1/","2025-04-14](https://openai.com/index/gpt-4-1/%22,%222025-04-14)"
"OpenAI Blog","Introducing OpenAI o3 and o4-mini","[https://openai.com/index/introducing-o3-and-o4-mini/","2025-04-16](https://openai.com/index/introducing-o3-and-o4-mini/%22,%222025-04-16)"
"OpenAI Blog","Sycophancy in GPT-4o: what happened and what we’re doing about it","[https://openai.com/index/sycophancy-in-gpt-4o/","2025-04-29](https://openai.com/index/sycophancy-in-gpt-4o/%22,%222025-04-29)"
"OpenAI Blog","Expanding on what we missed with sycophancy","[https://openai.com/index/expanding-on-sycophancy/","2025-05-02](https://openai.com/index/expanding-on-sycophancy/%22,%222025-05-02)"
"OpenAI Blog","Evolving OpenAI’s structure","[https://openai.com/index/evolving-our-structure/","2025-05-05](https://openai.com/index/evolving-our-structure/%22,%222025-05-05)"
"Google AI Blog","Teaching machines the language of biology: Scaling large language models for next-generation single-cell analysis","[https://research.google/blog/teaching-machines-the-language-of-biology-scaling-large-language-models-for-next-generation-single-cell-analysis/","2025-04-17](https://research.google/blog/teaching-machines-the-language-of-biology-scaling-large-language-models-for-next-generation-single-cell-analysis/%22,%222025-04-17)"
"Google AI Blog","Evaluating progress of LLMs on scientific problem-solving","[https://research.google/blog/evaluating-progress-of-llms-on-scientific-problem-solving/","2025-04-03](https://research.google/blog/evaluating-progress-of-llms-on-scientific-problem-solving/%22,%222025-04-03)"
"Google AI Blog","ECLeKTic: A novel benchmark for evaluating cross-lingual knowledge transfer in LLMs","[https://research.google/blog/eclektic-a-novel-benchmark-for-evaluating-cross-lingual-knowledge-transfer-in-llms/","2025-04-02](https://research.google/blog/eclektic-a-novel-benchmark-for-evaluating-cross-lingual-knowledge-transfer-in-llms/%22,%222025-04-02)"
"Google Developers Blog","Start building with Gemini 2.5 Flash","[https://developers.googleblog.com/en/start-building-with-gemini-25-flash/","2025-04-17](https://developers.googleblog.com/en/start-building-with-gemini-25-flash/%22,%222025-04-17)"
"Google Developers Blog","Gemma explained: What’s new in Gemma 3","[https://developers.googleblog.com/en/gemma-explained-whats-new-in-gemma-3/","2025-04-30](https://developers.googleblog.com/en/gemma-explained-whats-new-in-gemma-3/%22,%222025-04-30)"
